vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,6100,2019-05-01
Mariflor Arthur & Theo,Rolland Wine Collection,6100,2019-05-01
Mariflor Raphael,Rolland Wine Collection,6100,2019-05-01
EL Cuvelier Los Andes,Cuvelier Los Andes,3780,2019-05-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),7650,2019-05-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),7170,2019-05-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),6375,2019-05-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,693,2019-05-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,553,2019-05-01
Pispi Blend,Mosquita Muerta Wines,486,2019-05-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2019-05-01
Nico by Luca,Laura Catena Wines,2737,2019-05-01
Pachamama Malbec,Matervini,1425,2019-05-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,480,2019-05-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,8295,2019-05-01
Zuccardi Aluvional Altamira,Familia Zuccardi,6279,2019-05-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,6279,2019-05-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,1789,2019-05-01
Nicola Catena Bonarda,Catena Zapata,5370,2019-05-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,4440,2019-05-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,4200,2019-05-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,4200,2019-05-01
D.V. Catena Espumante Nature,Catena Zapata,5535,2019-05-01
Angelica Zapata Malbec,Catena Zapata,3810,2019-05-01
Angelica Zapata Cabernet Franc,Catena Zapata,2820,2019-05-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,2505,2019-05-01
Angelica Zapata Merlot,Catena Zapata,2505,2019-05-01
Angelica Zapata Chardonnay,Catena Zapata,2445,2019-05-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,4815,2019-05-01
D.V. Catena Malbec - Malbec,Catena Zapata,3667,2019-05-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,3600,2019-05-01
D.V. Catena Cabernet - Malbec,Catena Zapata,2754,2019-05-01
D.V. Catena Cabernet - Syrah,Catena Zapata,2754,2019-05-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,2655,2019-05-01
Catena Zapata Estiba Reservada 2009,Catena Zapata (Ediciones limitadas),105246,2019-05-01
Catena Zapata Estiba Reservada 2010,Catena Zapata (Ediciones limitadas),95742,2019-05-01
Catena Zapata Estiba Reservada 2013,Catena Zapata (Ediciones limitadas),71820,2019-05-01
Nicolas Catena Zapata 2015,Catena Zapata (Ediciones limitadas),17658,2019-05-01
Catena Zapata Malbec Argentino 2015,Catena Zapata (Ediciones limitadas),11772,2019-05-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),15660,2019-05-01
Adrianna Vineyard - White Bones - Chardonnay 2015,Catena Zapata (Ediciones limitadas),11826,2019-05-01
Adrianna Vineyard - White Bones - Chardonnay 2016,Catena Zapata (Ediciones limitadas),10746,2019-05-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),16821,2019-05-01
Adrianna Vineyard - Fortuna Terrae Malbec 2014,Catena Zapata (Ediciones limitadas),15025,2019-05-01
Adrianna Vineyard - Fortuna Terrae Malbec 2015,Catena Zapata (Ediciones limitadas),13905,2019-05-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),17550,2019-05-01
Adrianna Vineyard - River Stones - Malbec 2014,Catena Zapata (Ediciones limitadas),15930,2019-05-01
Adrianna Vineyard - River Stones - Malbec 2015,Catena Zapata (Ediciones limitadas),14526,2019-05-01
Don Malbec,Escorihuela Gascón,5880,2019-05-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,3920,2019-05-01
Pequeñas Producciones Malbec,Escorihuela Gascón,2114,2019-05-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,2114,2019-05-01
Pequeñas Producciones Syrah,Escorihuela Gascón,2114,2019-05-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,2114,2019-05-01
Coleccion Rutini Malbec x 375 ml.,La Rural,4838,2019-05-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,3292,2019-05-01
Trumpeter Malbec x 375 ml.,La Rural,1881,2019-05-01
Luigi Bosca Icono 2008,Luigi Bosca,25500,2019-05-01
Luigi Bosca Icono 2010,Luigi Bosca,15000,2019-05-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,5700,2019-05-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,5700,2019-05-01
Finca Los Nobles Chardonnay,Luigi Bosca,2850,2019-05-01
Luigi Bosca Boheme Brut Nature,Luigi Bosca,4500,2019-05-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,3420,2019-05-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,1980,2019-05-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,2175,2019-05-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,1961,2019-05-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,2226,2019-05-01
Proyecto Las Compuertas - Malbec 5 Suelos,Durigutti,1485,2019-05-01
Casarena DNA Malbec,Casarena,2608,2019-05-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,4830,2019-05-01
RJ Distinto,Bodega Joffre e Hijas,5740,2019-05-01
RJ Malbec,Bodega Joffre e Hijas,5180,2019-05-01
Sophenia Roberto L,Finca Sophenia,4200,2019-05-01
Septima Gran Malbec,Séptima,7000,2019-05-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,10440,2019-05-01
Vicentin Maldito Malbec,Vicentín Family Wines,3418,2019-05-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,2016,2019-05-01
Altimus,El Esteco,1152,2019-05-01
Chañar Punco,El Esteco,1097,2019-05-01
Yacuil Malbec 2013,Tacuil – Familia Dávalos,2210,2019-05-01
Yacuil Malbec 2015,Tacuil – Familia Dávalos,2040,2019-05-01
Noemia Malbec 2016,Noemía,3600,2019-05-01
Noemía Malbec 2015,Noemía,3600,2019-05-01
